metric,2011,2013,2015,2017,2019,2021
Arterial AM,0.292510862,0.160261115,0.158790369,0.158862661,0.211149244,0.227971617
Arterial PM,0.308073498,0.159851201,0.181198265,0.178887623,0.206482058,0.249718357
